2024-02-07 10:39:20.732 -08:00 [INF] Now listening on: http://localhost:5035
2024-02-07 10:39:20.755 -08:00 [INF] Application started. Press Ctrl+C to shut down.
2024-02-07 10:39:20.755 -08:00 [INF] Hosting environment: Development
2024-02-07 10:39:20.756 -08:00 [INF] Content root path: C:\Users\w_can\OneDrive\Desktop\Projects\NewMxLogBook\MxLogBook\MxLogBook
2024-02-07 10:39:29.187 -08:00 [WRN] Failed to determine the https port for redirect.
2024-02-07 10:39:31.631 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 2444.1402 ms
2024-02-07 10:49:19.275 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 18.3420 ms
2024-02-07 10:49:19.680 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 379.8911 ms
2024-02-07 10:49:41.913 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 0.1787 ms
2024-02-07 10:49:42.749 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 832.8528 ms
2024-02-07 10:50:05.410 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 0.1252 ms
2024-02-07 10:50:05.496 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 83.5806 ms
2024-02-07 10:53:41.975 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 0.1612 ms
2024-02-07 10:53:42.084 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 105.0275 ms
2024-02-07 10:53:46.996 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 0.0612 ms
2024-02-07 10:53:47.002 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 2.4646 ms
2024-02-07 10:54:01.960 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 0.0879 ms
2024-02-07 10:54:02.060 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 96.7091 ms
2024-02-07 12:54:33.925 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 16.0356 ms
2024-02-07 12:54:34.140 -08:00 [INF] HTTP POST /api/Auth/login responded 400 in 174.8697 ms
2024-02-07 12:54:58.905 -08:00 [INF] HTTP OPTIONS /api/Auth/login responded 204 in 0.5267 ms
2024-02-07 12:54:59.233 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 322.9516 ms
2024-02-07 13:42:51.006 -08:00 [INF] HTTP POST /api/Auth/login responded 400 in 50.5007 ms
2024-02-07 13:42:57.238 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 89.6594 ms
2024-02-07 13:43:17.041 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 176.8577 ms
2024-02-07 13:43:28.706 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 97.7384 ms
2024-02-07 13:43:55.128 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 99.2734 ms
2024-02-07 13:44:28.230 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 94.5756 ms
2024-02-07 13:44:33.158 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 100.6288 ms
2024-02-07 13:45:03.567 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 95.6371 ms
2024-02-07 13:45:15.499 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 106.9265 ms
2024-02-07 13:46:02.626 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 88.7903 ms
2024-02-07 13:46:12.462 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 85.7615 ms
2024-02-07 13:46:22.555 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 88.3981 ms
2024-02-07 13:47:45.644 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 105.3818 ms
2024-02-07 14:07:00.585 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 271.4029 ms
2024-02-07 14:07:13.993 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 239.4589 ms
2024-02-07 14:08:54.320 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 109.2302 ms
2024-02-07 14:12:20.706 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 138.6696 ms
2024-02-07 14:12:46.997 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 90.7283 ms
2024-02-07 14:12:50.030 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 97.6054 ms
2024-02-07 14:13:04.937 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 91.8910 ms
2024-02-07 14:13:08.491 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 69.0986 ms
2024-02-07 14:15:33.398 -08:00 [INF] HTTP POST /api/Auth/login responded 200 in 177.7643 ms
2024-02-07 14:15:55.937 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 4.8664 ms
2024-02-07 14:16:00.265 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 3.3136 ms
2024-02-07 14:16:11.364 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 1.4796 ms
2024-02-07 14:17:06.522 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 77.8916 ms
2024-02-07 14:18:39.217 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 142.4462 ms
2024-02-07 14:18:39.755 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 85.3451 ms
2024-02-07 14:18:39.955 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 91.9656 ms
2024-02-07 14:19:20.000 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 158.8380 ms
2024-02-07 14:19:45.960 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 94.4626 ms
2024-02-07 14:19:53.522 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 67.0416 ms
2024-02-07 14:20:07.595 -08:00 [INF] HTTP POST /api/Auth/login responded 401 in 86.2563 ms
