2024-02-15 07:34:44.459 -07:00 [INF] Application is shutting down...
2024-02-15 07:35:08.821 -07:00 [INF] Now listening on: http://localhost:5035
2024-02-15 07:35:08.844 -07:00 [INF] Application started. Press Ctrl+C to shut down.
2024-02-15 07:35:08.844 -07:00 [INF] Hosting environment: Development
2024-02-15 07:35:08.844 -07:00 [INF] Content root path: C:\Users\w_can\OneDrive\Desktop\Projects\NewMxLogBook\MxLogBook\MxLogBook
2024-02-15 07:37:16.533 -07:00 [WRN] Failed to determine the https port for redirect.
2024-02-15 07:37:18.686 -07:00 [INF] HTTP POST /api/Auth/refreshtoken responded 200 in 2153.5317 ms
2024-02-15 07:37:19.180 -07:00 [INF] HTTP POST /api/Auth/refreshtoken responded 200 in 84.2828 ms
2024-02-15 07:37:19.217 -07:00 [INF] HTTP POST /api/Auth/refreshtoken responded 200 in 113.0188 ms
2024-02-15 07:37:20.085 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 65.4105 ms
2024-02-15 07:37:20.137 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 6.0529 ms
2024-02-15 07:37:24.760 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 5.8916 ms
2024-02-15 07:37:24.806 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 2.1384 ms
2024-02-15 07:37:26.196 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.9596 ms
2024-02-15 07:37:26.235 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 2.0245 ms
2024-02-15 07:39:43.686 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.5773 ms
2024-02-15 07:39:43.740 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.8987 ms
2024-02-15 07:40:01.040 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.8394 ms
2024-02-15 07:40:01.073 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.8173 ms
2024-02-15 07:40:03.473 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.7894 ms
2024-02-15 07:40:03.504 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.3174 ms
2024-02-15 07:41:04.875 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.8976 ms
2024-02-15 07:41:04.919 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.8573 ms
2024-02-15 07:41:26.453 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.5950 ms
2024-02-15 07:41:26.501 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.7953 ms
2024-02-15 07:41:57.911 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.4973 ms
2024-02-15 07:41:57.945 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.6027 ms
2024-02-15 07:42:09.219 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.9956 ms
2024-02-15 07:42:09.264 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.4064 ms
2024-02-15 07:42:15.826 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.4294 ms
2024-02-15 07:42:15.858 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.4292 ms
2024-02-15 07:42:20.301 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 28.6202 ms
2024-02-15 07:42:20.354 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.3633 ms
2024-02-15 07:42:20.457 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.5967 ms
2024-02-15 07:42:20.497 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.3691 ms
2024-02-15 07:42:20.544 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.3943 ms
2024-02-15 07:42:20.582 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.6503 ms
2024-02-15 07:42:20.620 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 2.3414 ms
2024-02-15 07:42:20.672 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.6075 ms
2024-02-15 07:42:20.720 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.4631 ms
2024-02-15 07:42:20.767 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.7200 ms
2024-02-15 07:42:20.801 -07:00 [INF] HTTP GET /api/Vehicles responded 200 in 1.4715 ms
